,miR-10-5p,miR-135ab-5p,miR-218-5p,miR-190-5p,miR-193-3p,miR-33-5p,miR-182-5p,miR-362-5p,miR-23-3p,miR-18-5p,miR-18-3p/7069-3p,miR-194-2-3p/6926-5p/7055-5p,miR-130-3p/301-3p,miR-103-3p/107-3p,miR-205-5p,miR-183-3p,miR-7-5p,miR-423-3p,miR-501-5p,miR-185-5p,miR-423-5p,miR-26-5p,miR-147-3p,miR-484,miR-378-3p,miR-22-3p,miR-652-3p,miR-374b-5p,miR-210-3p,miR-194-5p,miR-192-5p/215-5p,miR-196-5p,miR-324-3p,miR-27-3p,miR-141-3p,miR-1198-5p,miR-19-3p,miR-183-5p,let-7-5p/miR-98-5p,miR-200-3p/429-3p,miR-3081-3p,miR-125ab-5p/351-5p,miR-28-3p,miR-181-5p,miR-151-3p,miR-24-3p,miR-96-5p,miR-186-5p,miR-425-5p/489-3p,miR-17-5p/20-5p/93-5p/106-5p,miR-21ac-5p,miR-15-5p/16-5p/195-5p/322-5p/497-5p,miR-25-3p/32-5p/92-3p/363-3p/367-3p,miR-141-5p/6769b-3p,miR-16-1-3p,miR-200ab-5p,miR-191-5p,miR-221-3p/222-3p,miR-139-5p,miR-140-5p,miR-139-3p,miR-30-5p/384-5p,miR-340-5p,miR-181a-1-3p/181c-3p,miR-34-5p/449-5p,miR-106-3p,miR-671-5p,miR-30a-3p/30d-3p/30e-3p,miR-29-3p,miR-345-5p,miR-328-3p,miR-361-5p,let-7d-3p,miR-375-3p,miR-148-3p/152-3p,miR-153-3p,miR-146ab-5p,miR-31-5p,miR-132-3p/212-3p,miR-99-5p/100-5p,miR-28-5p/708-5p
574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZFP36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCNK6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAPDHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRPM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NUCB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPTY2D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRRK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EIF4G2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLEKHA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RPS13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEPHS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPFIA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCND1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KBTBD11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC10A7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E2F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC7A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZFHX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USP10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAB11FIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPCS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPS15L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCAF15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMPD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATXN1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAF5L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMARCA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRKCSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPAGT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USP28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYO5C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLOD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLCO2A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUSP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUSC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC37A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUL5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATP1B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDX26B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUWE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUV39H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HCFC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAGT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SULF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNNM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATG16L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPHA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BTG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARMT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCDC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UHRF1BP1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GALNT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANKRD52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUCD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PWWP2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLINT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATXN7L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRPF39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CALM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STON2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOXN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNF44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIK3R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM9SF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEBPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USP25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUSP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCERG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAMD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMNB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMAIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDCD4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GCNT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHRS9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CELF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOP10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THBS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC20A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITGB6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTNND1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPCPD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERINC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRIM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3GLB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDOST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERRFI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPAD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TMEM165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAOK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLT1D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIGYF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCOR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CALD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOXA9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCND2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USP47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABHD17C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POLD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATXN2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COL4A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3RF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLC44A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAM96A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYB5R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACVR2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARID3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GCNT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATP7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDM5C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENOX2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRWD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POC1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
